STATION,STATION_NAME,DATE,PRCP,SNOW
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160910,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160911,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160912,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160913,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160914,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160915,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160916,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160917,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160918,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160919,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160920,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160921,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160922,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160923,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160924,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160925,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160926,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160927,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160928,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160929,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160930,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161001,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161002,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161003,0.01,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161004,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161005,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161006,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161007,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161008,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161009,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161010,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161011,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161012,0.01,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161013,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161014,0.44,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161015,0.34,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161016,0.61,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161017,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161018,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161019,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20161020,0.00,0.0
